wpcf-a570,wpcf-a195,wpcf-a572,post_type,lng,id,post_author,wpcf-a175,wpcf-a174,wpcf-a177,wpcf-a176,ibge,wpcf-a173,wpcf-a172,post_status,wpcf-a179,wpcf-a178,wpcf-a188,wpcf-a180,wpcf-a181,wpcf-a182,wpcf-a183,wpcf-a184,wpcf-a185,wpcf-a186,wpcf-a187,lat,wpcf-a569,comment_status,wpcf-a167,wpcf-a164,post_title,wpcf-a489,wpcf-a168,wpcf-a169
Bom Jesus,Não,9504,municipio,-35.5888032897951,,240170,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240170,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-5.98631885234114,RN,open,Sim,Integrado ao sistema estadual de ensino,Bom Jesus - RN,Sim,Sim,Não
Brejinho,Não,11675,municipio,-35.3573540540418,,240180,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240180,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-6.19257905870004,RN,open,Não,Próprio,Brejinho - RN,Sim,Sim,Sim
Caiçara do Norte,Sim,6030,municipio,-36.0558571538451,,240185,Sim,Sim,Não,Sim,240185,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,-5.06299440936317,RN,open,Sim,Integrado ao sistema estadual de ensino,Caiçara do Norte - RN,Sim,Sim,Sim
Caiçara do Rio do Vento,Sim,3342,municipio,-35.9997904110862,,240190,Sim,Sim,Não,Não,240190,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-5.75908714277655,RN,open,Não,Integrado ao sistema estadual de ensino,Caiçara do Rio do Vento - RN,Não,Não,Não
Caicó,Não,63148,municipio,-37.0964887711922,,240200,Sim,Sim,Não,Sim,240200,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Sim,-6.45913883139328,RN,open,Sim,Integrado ao sistema estadual de ensino,Caicó - RN,Não,Sim,Sim
Campo Redondo,Sim,10348,municipio,-36.1825045694096,,240210,Sim,Sim,Não,Não,240210,Sim,Sim,publish,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,-6.24338305317339,RN,open,Sim,Integrado ao sistema estadual de ensino,Campo Redondo - RN,Sim,Não,Não
Canguaretama,Não,31216,municipio,-35.1285396639931,,240220,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240220,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-6.37492521572032,RN,open,Não,Próprio,Canguaretama - RN,Não,Não,Não
Caraúbas,Sim,19635,municipio,-37.5537021978471,,240230,Sim,Sim,Não,Sim,240230,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,-5.79117610285868,RN,open,Não,Próprio,Caraúbas - RN,Não,Sim,Sim
Carnaúba dos Dantas,Não,7495,municipio,-36.5952519214664,,240240,Sim,Sim,Não,Sim,240240,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,-6.56073251736681,RN,open,Sim,Integrado ao sistema estadual de ensino,Carnaúba dos Dantas - RN,Não,Sim,Sim
Carnaubais,Sim,9883,municipio,-36.8346423564497,,240250,Não,Não,Não,Não,240250,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Não,-5.33978539431904,RN,open,Sim,Integrado ao sistema estadual de ensino,Carnaubais - RN,Não,Sim,Não
Ceará-Mirim,Não,68580,municipio,-35.42448692853,,240260,Sim,Sim,Não,Não,240260,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-5.64098359191175,RN,open,Sim,Próprio,Ceará-Mirim - RN,Sim,Não,Sim
Cerro Corá,Não,10922,municipio,-36.3457414414503,,240270,Sim,Sim,Sim,Sim,240270,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,-6.0348271931366,RN,open,Sim,Integrado ao sistema estadual de ensino,Cerro Corá - RN,Não,Sim,Não
Coronel Ezequiel,Não,5405,municipio,-36.2147710444246,,240280,Sim,Sim,Não,Não,240280,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-6.38340239029441,RN,open,Não,Integrado ao sistema estadual de ensino,Coronel Ezequiel - RN,Não,Sim,Não
Coronel João Pessoa,Sim,4778,municipio,-38.4402581627126,,240290,Sim,Sim,Não,Não,240290,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Não,-6.26011221139078,RN,open,Não,Integrado ao sistema estadual de ensino,Coronel João Pessoa - RN,Não,Sim,Sim
Cruzeta,Não,7954,municipio,-36.7917053203155,,240300,Sim,Sim,Não,Sim,240300,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-6.41317640695567,RN,open,Sim,Integrado ao sistema estadual de ensino,Cruzeta - RN,Não,Não,Sim
Currais Novos,Sim,42795,municipio,-36.5162192209593,,240310,Sim,Sim,Não,Não,240310,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,-6.26467221895558,RN,open,Não,Integrado ao sistema estadual de ensino,Currais Novos - RN,Não,Não,Sim
Doutor Severiano,Sim,6488,municipio,-38.3736830788222,,240320,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240320,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Sim,-6.09368737055909,RN,open,Sim,Integrado ao sistema estadual de ensino,Doutor Severiano - RN,Sim,Sim,Sim
Parnamirim,Sim,208426,municipio,-35.2592090738617,,240325,Sim,Sim,Não,Sim,240325,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-5.91036975825394,RN,open,Sim,Próprio,Parnamirim - RN,Não,Sim,Sim
Encanto,Sim,5265,municipio,-38.3048789906516,,240330,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240330,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Sim,-6.1111342006329,RN,open,Sim,Integrado ao sistema estadual de ensino,Encanto - RN,Sim,Sim,Sim
Equador,Sim,5835,municipio,-36.7164124288599,,240340,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240340,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-6.94584274907483,RN,open,Sim,Integrado ao sistema estadual de ensino,Equador - RN,Sim,Sim,Sim
Espírito Santo,Não,10457,municipio,-35.3170907892286,,240350,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240350,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Não,Sim,Sim,Sim,Sim,-6.33557170320116,RN,open,Não,Próprio,Espírito Santo - RN,Não,Não,Não
Extremoz,Sim,24953,municipio,-35.3140254320232,,240360,Sim,Sim,Não,Sim,240360,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Não,-5.70270993620874,RN,open,Sim,Integrado ao sistema estadual de ensino,Extremoz - RN,Sim,Não,Não
Felipe Guerra,Sim,5750,municipio,-37.6913850557146,,240370,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240370,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-5.60196176980821,RN,open,Não,Próprio,Felipe Guerra - RN,Não,Não,Não
Fernando Pedroza,Sim,2870,municipio,-36.5324535353652,,240375,Sim,Sim,Não,Sim,240375,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,-5.69601578146739,RN,open,Sim,Integrado ao sistema estadual de ensino,Fernando Pedroza - RN,Não,Não,Não
Florânia,Sim,8958,municipio,-36.8140762988106,,240380,Sim,Sim,Não,Não,240380,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-6.12695195501155,RN,open,Sim,Próprio,Florânia - RN,Não,Sim,Não
Francisco Dantas,Sim,2863,municipio,-38.1256497554185,,240390,Sim,Sim,Não,Não,240390,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Não,-6.08809671674326,RN,open,Não,Integrado ao sistema estadual de ensino,Francisco Dantas - RN,Sim,Sim,Sim
Frutuoso Gomes,Sim,4207,municipio,-37.8409607540419,,240400,Sim,Sim,Sim,Não,240400,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-6.15623279929201,RN,open,Não,Integrado ao sistema estadual de ensino,Frutuoso Gomes - RN,Sim,Sim,Sim
Galinhos,Sim,2223,municipio,-36.2746400699779,,240410,Sim,Sim,Não,Sim,240410,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,-5.09168977841149,RN,open,Sim,Integrado ao sistema estadual de ensino,Galinhos - RN,Não,Não,Sim
Goianinha,Sim,22851,municipio,-35.2177861245435,,240420,Sim,Sim,Sim,Não,240420,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,-6.25059038995067,RN,open,Sim,Integrado ao sistema estadual de ensino,Goianinha - RN,Não,Sim,Sim
Governador Dix-Sept Rosado,Sim,12421,municipio,-37.5219118430218,,240430,Sim,Sim,Não,Não,240430,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,-5.45891384210597,RN,open,Sim,Próprio,Governador Dix-Sept Rosado - RN,Não,Sim,Sim
Grossos,Não,9481,municipio,-37.1574841600262,,240440,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240440,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-4.97551480707414,RN,open,Sim,Integrado ao sistema estadual de ensino,Grossos - RN,Não,Não,Sim
Guamaré,Sim,12731,municipio,-36.3181443773969,,240450,Sim,Sim,Não,Sim,240450,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-5.10736295459178,RN,open,Sim,Integrado ao sistema estadual de ensino,Guamaré - RN,Não,Sim,Não
Ielmo Marinho,Sim,12319,municipio,-35.5528293750625,,240460,Não,Sim,Não,Não,240460,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-5.81531503827622,RN,open,Sim,Integrado ao sistema estadual de ensino,Ielmo Marinho - RN,Não,Não,Não
Ipanguaçu,Sim,14005,municipio,-36.8528746046542,,240470,Sim,Sim,Não,Sim,240470,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-5.49714835330496,RN,open,Sim,Integrado ao sistema estadual de ensino,Ipanguaçu - RN,Sim,Não,Sim
Ipueira,Não,2091,municipio,-37.1978561298861,,240480,Não,Sim,Não,Sim,240480,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-6.81555076188514,RN,open,Sim,Integrado ao sistema estadual de ensino,Ipueira - RN,Não,Sim,Sim
Itajá,Sim,6985,municipio,-36.8698181053353,,240485,Sim,Sim,Não,Não,240485,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-5.64354760896815,RN,open,Sim,Integrado ao sistema estadual de ensino,Itajá - RN,Não,Não,Sim
Itaú,Sim,5587,municipio,-37.9882686256902,,240490,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240490,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-5.83793607342512,RN,open,Sim,Integrado ao sistema estadual de ensino,Itaú - RN,Não,Sim,Sim
Jaçanã,Não,8040,municipio,-36.2055929077335,,240500,Sim,Sim,Não,Sim,240500,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,-6.42497334736577,RN,open,Sim,Integrado ao sistema estadual de ensino,Jaçanã - RN,Não,Sim,Sim
Jandaíra,Sim,6820,municipio,-36.1305852719426,,240510,Sim,Sim,Não,Sim,240510,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Não,-5.35528,RN,open,Sim,Integrado ao sistema estadual de ensino,Jandaíra - RN,Não,Não,Sim
Janduís,Não,5326,municipio,-37.4092111089131,,240520,Sim,Sim,Sim,Não,240520,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-6.01609270285832,RN,open,Não,Próprio,Janduís - RN,Não,Sim,Sim
Januário Cicco,Não,9113,municipio,-35.600891962575,,240530,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240530,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-6.15609802255279,RN,open,Sim,Integrado ao sistema estadual de ensino,Januário Cicco - RN,Não,Sim,Sim
Japi,Não,5461,municipio,-35.9459348280456,,240540,Não,Sim,Não,Não,240540,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-6.46056601331605,RN,open,Sim,Integrado ao sistema estadual de ensino,Japi - RN,Sim,Sim,Sim
Jardim de Angicos,Sim,2603,municipio,-35.969954329802,,240550,Não,Sim,Não,Não,240550,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-5.6526312123534,RN,open,Não,Integrado ao sistema estadual de ensino,Jardim de Angicos - RN,Não,Não,Não
Jardim de Piranhas,Não,13623,municipio,-37.3492178522692,,240560,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240560,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-6.38009754919079,RN,open,Sim,Integrado ao sistema estadual de ensino,Jardim de Piranhas - RN,Sim,Não,Não
Jardim do Seridó,Sim,12119,municipio,-36.77458152338,,240570,Sim,Sim,Não,Sim,240570,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,-6.58633625168301,RN,open,Sim,Integrado ao sistema estadual de ensino,Jardim do Seridó - RN,Não,Não,Não
João Câmara,Não,32456,municipio,-35.8167878738553,,240580,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240580,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Sim,-5.53842338336333,RN,open,Sim,Integrado ao sistema estadual de ensino,João Câmara - RN,Não,Sim,Não
João Dias,Não,2602,municipio,-37.7969607820048,,240590,Não,Sim,Não,Não,240590,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Não,-6.27611409784306,RN,open,Não,Integrado ao sistema estadual de ensino,João Dias - RN,Sim,Sim,Sim
José da Penha,Sim,5865,municipio,-38.2844030704544,,240600,Sim,Sim,Não,Não,240600,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,-6.31268844277092,RN,open,Não,Integrado ao sistema estadual de ensino,José da Penha - RN,Sim,Sim,Sim
Jucurutu,Sim,17721,municipio,-37.020225829413,,240610,Sim,Sim,Não,Sim,240610,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Não,-6.03341878412747,RN,open,Não,Integrado ao sistema estadual de ensino,Jucurutu - RN,Não,Não,Sim
Jundiá,Não,3609,municipio,-35.3277885218596,,240615,Sim,Sim,Não,Não,240615,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-6.26916933108908,RN,open,Não,Integrado ao sistema estadual de ensino,Jundiá - RN,Não,Sim,Sim
Lagoa d'Anta,Sim,6273,municipio,-35.5997951777328,,240620,Sim,Sim,Não,Não,240620,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-6.39150232349883,RN,open,Sim,Integrado ao sistema estadual de ensino,Lagoa d'Anta - RN,Não,Não,Não
Lagoa de Pedras,Não,7035,municipio,-35.4334827321932,,240630,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240630,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Sim,-6.14973910199057,RN,open,Não,Integrado ao sistema estadual de ensino,Lagoa de Pedras - RN,Não,Não,Não
Lagoa de Velhos,Sim,2670,municipio,-35.8706988331384,,240640,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240640,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Não,-5.99991551930281,RN,open,Sim,Integrado ao sistema estadual de ensino,Lagoa de Velhos - RN,Não,Sim,Sim
Lagoa Nova,Sim,14131,municipio,-36.4589606695817,,240650,Sim,Sim,Não,Não,240650,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-6.09766929639383,RN,open,Não,Integrado ao sistema estadual de ensino,Lagoa Nova - RN,Sim,Não,Não
Lagoa Salgada,Não,7623,municipio,-35.4724975676103,,240660,Sim,Não,Não,Não,240660,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-6.12581826185821,RN,open,Não,Próprio,Lagoa Salgada - RN,Não,Sim,Sim
Lajes,Sim,10457,municipio,-36.242735126413,,240670,Sim,Sim,Não,Sim,240670,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,-5.69883035878165,RN,open,Sim,Integrado ao sistema estadual de ensino,Lajes - RN,Não,Não,Não
Lajes Pintadas,Sim,4619,municipio,-36.1184417929034,,240680,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240680,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-6.15143207205811,RN,open,Sim,Integrado ao sistema estadual de ensino,Lajes Pintadas - RN,Sim,Sim,Não
Lucrécia,Não,3665,municipio,-37.8156328477028,,240690,Sim,Sim,Não,Não,240690,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,-6.11692363522479,RN,open,Não,Integrado ao sistema estadual de ensino,Lucrécia - RN,Sim,Sim,Sim
Luís Gomes,Não,9646,municipio,-38.386420375103,,240700,Sim,Sim,Sim,Não,240700,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,-6.41402814243274,RN,open,Sim,Integrado ao sistema estadual de ensino,Luís Gomes - RN,Sim,Sim,Sim
Macaíba,Sim,70587,municipio,-35.3552371335816,,240710,Sim,Sim,Não,Sim,240710,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-5.85723661962623,RN,open,Sim,Integrado ao sistema estadual de ensino,Macaíba - RN,Não,Não,Sim
Macau,Sim,29204,municipio,-36.634973181901,,240720,Sim,Sim,Não,Sim,240720,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,-5.11336765030868,RN,open,Sim,Integrado ao sistema estadual de ensino,Macau - RN,Sim,Não,Sim
Major Sales,Sim,3582,municipio,-38.3234550212287,,240725,Sim,Sim,Não,Sim,240725,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-6.40375656574908,RN,open,Sim,Integrado ao sistema estadual de ensino,Major Sales - RN,Sim,Sim,Sim
Marcelino Vieira,Sim,8257,municipio,-38.1666126187356,,240730,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240730,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Não,-6.29354978779003,RN,open,Sim,Integrado ao sistema estadual de ensino,Marcelino Vieira - RN,Sim,Sim,Não
Martins,Não,8256,municipio,-37.9113273956681,,240740,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240740,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-6.09634749287148,RN,open,Não,Integrado ao sistema estadual de ensino,Martins - RN,Não,Sim,Sim
Maxaranguape,Sim,10629,municipio,-35.262074868072,,240750,Sim,Sim,Sim,Sim,240750,Sim,Sim,publish,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,-5.50545626577382,RN,open,Sim,Próprio,Maxaranguape - RN,Não,Sim,Não
Messias Targino,Sim,4225,municipio,-37.5120589301593,,240760,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240760,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-6.07649750532978,RN,open,Não,Integrado ao sistema estadual de ensino,Messias Targino - RN,Sim,Não,Não
Montanhas,Não,11372,municipio,-35.2876919575565,,240770,Sim,Sim,Não,Não,240770,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Sim,-6.4822429389357,RN,open,Não,Integrado ao sistema estadual de ensino,Montanhas - RN,Não,Não,Não
Monte Alegre,Não,20825,municipio,-35.3320992692543,,240780,Sim,Sim,Não,Não,240780,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,-6.06787662410822,RN,open,Sim,Integrado ao sistema estadual de ensino,Monte Alegre - RN,Não,Não,Sim
Monte das Gameleiras,Não,2240,municipio,-35.7866071234666,,240790,Sim,Sim,Não,Sim,240790,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Não,-6.43946601652215,RN,open,Não,Próprio,Monte das Gameleiras - RN,Não,Não,Não
Mossoró,Sim,263344,municipio,-37.3568741367043,,240800,Sim,Sim,Não,Sim,240800,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,-5.19380123470868,RN,open,Sim,Próprio,Mossoró - RN,Sim,Sim,Sim
Natal,Sim,810780,municipio,-35.2522547280543,,240810,Sim,Sim,Não,Sim,240810,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-5.75089853761206,RN,open,Sim,Próprio,Natal - RN,Sim,Não,Não
Nísia Floresta,Não,24149,municipio,-35.211309564485,,240820,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240820,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-6.09071414590346,RN,open,Sim,Próprio,Nísia Floresta - RN,Não,Sim,Sim
Nova Cruz,Não,35618,municipio,-35.4323003945869,,240830,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240830,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Não,Não,Sim,-6.48006479201477,RN,open,Sim,Integrado ao sistema estadual de ensino,Nova Cruz - RN,Sim,Não,Sim
Olho-d'Água do Borges,Sim,4283,municipio,-37.7118209785559,,240840,Sim,Sim,Não,Sim,240840,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,-5.95925838753112,RN,open,Não,Próprio,Olho-d'Água do Borges - RN,Sim,Sim,Sim
Ouro Branco,Sim,4702,municipio,-36.9462950766901,,240850,Não,Sim,Não,Não,240850,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-6.69965894742555,RN,open,Sim,Integrado ao sistema estadual de ensino,Ouro Branco - RN,Não,Não,Não
Paraná,Sim,3977,municipio,-38.3111288501105,,240860,Não,Sim,Não,Não,240860,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-6.48533050134249,RN,open,Sim,Integrado ao sistema estadual de ensino,Paraná - RN,Sim,Sim,Sim
Paraú,Sim,3842,municipio,-37.1016501352676,,240870,Não,Sim,Não,Não,240870,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,-5.77705551761264,RN,open,Não,Integrado ao sistema estadual de ensino,Paraú - RN,Não,Não,Sim
Parazinho,Sim,4885,municipio,-35.8449895223578,,240880,Sim,Sim,Não,Sim,240880,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Não,-5.23078073449039,RN,open,Sim,Integrado ao sistema estadual de ensino,Parazinho - RN,Não,Sim,Não
Parelhas,Não,20434,municipio,-36.6578048562049,,240890,Sim,Sim,Não,Sim,240890,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,-6.68875519717457,RN,open,Não,Próprio,Parelhas - RN,Não,Sim,Sim
Rio do Fogo,Sim,10124,municipio,-35.3848720422209,,240895,Sim,Sim,Não,Não,240895,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,-5.27155865959121,RN,open,Sim,Próprio,Rio do Fogo - RN,Sim,Não,Sim
Passa e Fica,Sim,11313,municipio,-35.6473522143433,,240910,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240910,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-6.42911549365363,RN,open,Sim,Próprio,Passa e Fica - RN,Não,Sim,Sim
Passagem,Sim,2910,municipio,-35.3755657140696,,240920,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240920,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Sim,-6.27444221295608,RN,open,Não,Próprio,Passagem - RN,Sim,Sim,Sim
Patu,Sim,12025,municipio,-37.6401023994731,,240930,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240930,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-6.1015320672853,RN,open,Não,Próprio,Patu - RN,Não,Não,Não
Santa Maria,Não,4838,municipio,-35.6903638553156,,240933,Sim,Sim,Não,Não,240933,Não,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,-5.83851870108946,RN,open,Não,Integrado ao sistema estadual de ensino,Santa Maria - RN,Não,Não,Não
Pau dos Ferros,Sim,27975,municipio,-38.2032615200836,,240940,Não aplicável,Não aplicável,Não aplicável,Não aplicável,240940,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Não,-6.11473183865013,RN,open,Sim,Integrado ao sistema estadual de ensino,Pau dos Ferros - RN,Sim,Sim,Sim
